,Acquired Immunodeficiency Syndrome,Glioma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Lymphoma,Stomach Neoplasms,Thyroid Neoplasms,Uterine Cervical Neoplasms,"Cardiomyopathy, Dilated",Alzheimer Disease,Colonic Neoplasms,"Myositis, Inclusion Body",Ovarian Neoplasms,Prostatic Neoplasms,Huntington Disease,Lung Neoplasms,Breast Neoplasms,Neoplasms,Melanoma,Schizophrenia,"Carcinoma, Hepatocellular",Neuroblastoma,Colorectal Neoplasms,Eosinophilic Esophagitis,Osteosarcoma,"Thyroid Cancer, Papillary",Retinoblastoma,"Carcinoma, Squamous Cell",Glioblastoma,Astrocytoma,Esophageal Neoplasms,Tongue Neoplasms,Aging,Seizures,Mental Disorders,Depression,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Carcinoma,Wilms Tumor,"Diabetes Mellitus, Type 2",Gallbladder Neoplasms,"Leukemia, Myeloid, Acute",Adenocarcinoma of Lung,Pancreatic Neoplasms,"Intracranial Hemorrhage, Hypertensive",Stroke,"Stroke, Lacunar",Peripheral Arterial Disease,"Glaucoma, Open-Angle",Intracranial Aneurysm,Leukemia,Cardiovascular Diseases,Carotid Stenosis,Glaucoma,Atherosclerosis,"Carcinoma, Basal Cell",Endometriosis,Coronary Artery Disease,Aortic Aneurysm,"Neurofibroma, Plexiform",Myocardial Infarction,"Aortic Aneurysm, Abdominal",Periodontitis,Neurofibromatosis 1,Diabetes Mellitus,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Frailty,Neurofibromatoses,Primary Myelofibrosis,Hypertension,Heart Failure,Medulloblastoma,"Leukemia, Lymphocytic, Chronic, B-Cell","Osteoporosis, Postmenopausal",Bone Diseases,Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Autism Spectrum Disorder,"Depressive Disorder, Major",Psychotic Disorders,Mood Disorders,"Leukemia, Lymphoid",Kidney Neoplasms,"Lymphoma, B-Cell","Leukemia, T-Cell",Multiple Myeloma,"Lupus Erythematosus, Systemic","Lymphoma, Mantle-Cell",Osteoarthritis,Liver Cirrhosis,Head and Neck Neoplasms,"Carcinoma, Ovarian Epithelial",Hematopoiesis,Hydatidiform Mole,Marek Disease,Neural Tube Defects,Pheochromocytoma,Congenital Hyperinsulinism,Pre-Eclampsia,Prader-Willi Syndrome,Hyperprolactinemia,Silver-Russell Syndrome,Adenocarcinoma,"Neoplasms, Germ Cell and Embryonal",Meningioma,Liver Neoplasms,Gestational Trophoblastic Disease,Choriocarcinoma,Pituitary Neoplasms,Adrenocortical Carcinoma,Trophoblastic Neoplasms,Infertility,Beckwith-Wiedemann Syndrome,"Arthritis, Rheumatoid","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Polycythemia Vera,Hyperhomocysteinemia,Obesity,Fibrosis,Rhabdomyosarcoma,Insulinoma,"Infarction, Middle Cerebral Artery","Carcinoma, Embryonal",Parkinson Disease,"Heart Defects, Congenital",Pneumoconiosis,"Colitis, Ulcerative",Diabetic Cardiomyopathies,"Aortic Aneurysm, Thoracic",Ependymoma,Sarcoma,Heart Diseases,Hepatitis C,Squamous Cell Carcinoma of Head and Neck,Gastrointestinal Stromal Tumors,Asthenozoospermia,Cerebrovascular Disorders,Multiple Sclerosis,Sjogren's Syndrome,"Thyroiditis, Autoimmune","Diabetes Mellitus, Type 1",Narcolepsy,Fibroma,Fibrosarcoma,Uterine Neoplasms,"Sarcoma, Endometrial Stromal","Carcinoma, Endometrioid",Hyperglycemia,HIV,"Vitreoretinopathy, Proliferative",Congenital Microtia,Retinal Degeneration,Amyotrophic Lateral Sclerosis,Familial Primary Pulmonary Hypertension,Hemangioma,Heroin Dependence,Myelodysplastic Syndromes,Metabolic Syndrome,"Purpura, Thrombocytopenic",Liver Diseases,Substance-Related Disorders,Diabetic Retinopathy,Myopia,"Leukemia, Myeloid",Syndrome,Psoriasis,Diabetic Nephropathies,Plasmacytoma,Hodgkin Disease,Burkitt Lymphoma,Cleft Lip,Cardiomegaly,"Leukemia, Promyelocytic, Acute",Asthma,Spinocerebellar Ataxias,Cardiomyopathies,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Anemia, Aplastic",Dyskeratosis Congenita,"Multiple Sclerosis, Relapsing-Remitting",Hepatoblastoma,"Renal Insufficiency, Chronic",Prostatic Hyperplasia,Lithiasis,"Epilepsy, Temporal Lobe",Neurodegenerative Diseases,Klinefelter Syndrome
Adenocarcinoma of Lung,0,0.178653715,0.338880314,0.081174552,0.160323818,0.085476061,0.113022593,0.06311275,0,0,0.055342891,0,0.091581467,0.085459961,0,0.533882735,0.174596064,0.220634996,0.114862428,0,0.416116642,0.11869604,0.059203947,0,0.088320361,0.333848624,0.171265211,0.331682149,0.11869604,0.142629238,0.104458049,0.08546463,0,0,0,0,0.095587755,0.06848864,0.375673906,0.50833084,0.133013255,0,0.085476061,0.102506922,1,0.107687796,0,0,0,0,0,0,0.211759916,0,0,0,0,0.331682149,0,0,0,0.06984403,0,0,0,0.06027501,0,0.086209912,0,0.078669311,0,0,0,0.130946149,0.069824118,0,0,0,0,0,0,0,0,0,0.109362078,0.081174552,0.091589954,0.086209912,0.084026386,0,0.091589954,0,0,0.21175567,0.27719544,0,0.079757725,0,0,0.061489019,0,0,0,0,0,0.619253192,0.211759916,0.14283657,0.122882078,0.102194678,0.385305967,0.091984467,0.386623727,0.135053778,0,0,0,0.083743376,0.083733965,0,0,0,0.073519838,0.163024576,0,0.143009225,0,0,0,0,0,0,0.142629238,0.143009225,0,0,0.32619057,0.081276863,0,0,0,0,0,0,0,0.078013142,0.088320361,0.083740121,0.101611879,0.323948735,0,0,0,0,0,0,0,0.143009225,0,0,0,0,0,0,0,0,0.143009225,0,0,0,0.118737124,0.119779327,0.056951958,0,0,0.078014654,0,0,0,0.069824118,0,0,0,0.143009225,0,0,0,0,0,0
Pancreatic Neoplasms,0,0.051425227,0.103469859,0.123515549,0.075628311,0.337365629,0.403604046,0.106429475,0,0,0.265541767,0,0.329676108,0.129754388,0,0.133978555,0.217266958,0.233590418,0.059443055,0,0.306570391,0.041479725,0.260209366,0.055396872,0.050567441,0.290694247,0.100639989,0.053291309,0.041479725,0.045443784,0.331039773,0.129758382,0,0,0,0,0.343581372,0.115089499,0.09548053,0.073242466,0.112385597,0.11025312,0.337365629,0.058272435,0.107687796,1,0,0,0,0,0,0,0.098562633,0,0,0,0,0.053291309,0,0,0,0.04428434,0,0,0,0.047263828,0.141191393,0.049412833,0,0.059750816,0,0,0,0.04188183,0.044272291,0,0,0,0,0.050682661,0,0,0,0,0.056712595,0.123515549,0.052355223,0.049412833,0.043989598,0,0.052355223,0,0.123332223,0.260975051,0.26492699,0,0.053050727,0,0,0.04264657,0.216995031,0,0,0.089658511,0,0.058272435,0.098562633,0.117866357,0.436436947,0.063141435,0.054088401,0.331076755,0.255623032,0.077972922,0,0,0,0.048057984,0.127243512,0,0,0,0.046501992,0.71216827,0,0.073242466,0,0,0,0.066790266,0.081618504,0,0.045443784,0.073242466,0,0.066829724,0.159210051,0.244489457,0,0,0,0,0.084295472,0.096440176,0,0.049200146,0.050567441,0.127252469,0.052846215,0.133792695,0,0,0,0,0,0,0,0.073242466,0,0,0,0,0.170301469,0,0.065372446,0,0.073242466,0,0,0.077593618,0.061359815,0.061875659,0.036417302,0,0,0.049200549,0,0,0,0.044272291,0,0,0,0.073242466,0,0,0,0,0,0.068728971
"Intracranial Hemorrhage, Hypertensive",0,0,0,0,0,0,0,0,0.068313703,0.1949451,0,0.043680135,0,0,0.134831221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084783504,0,0,0,0,0,0,0,0,0,0,0,0,1,0.561913062,0.401340952,0.161339424,0,0.422434119,0,0.293355784,0.422434119,0,0.150721985,0,0,0.121738594,0.179236883,0.030417725,0.186688537,0.140334059,0,0.037778136,0,0,0,0.052227545,0,0.287261116,0.109485038,0,0,0,0,0,0,0.032546231,0,0,0,0,0,0,0,0,0.109202841,0,0,0,0,0,0,0,0,0,0.084762495,0,0,0,0.026942599,0.141848053,0,0,0,0.033015578,0,0,0,0.116080016,0,0,0,0,0,0,0,0,0,0,0,0,0.29078474,0,0.201159798,0.087168387,0,0,0.061513829,0.140334059,0,0,0.169223209,0,0,0,0,0.737847925,0.055486957,0,0,0,0.034040813,0,0,0,0,0,0,0,0,0,0,0.110214272,0,0,0,0,0,0,0,0,0.148760921,0,0,0,0,0,0,0,0,0,0.087186817,0,0,0.135792487,0.109485038,0,0,0,0.041736168,0,0,0,0,0.164956177,0.153279656,0
Stroke,0,0,0,0,0,0,0,0,0.081914148,0.231961204,0,0.052328523,0,0,0.161360306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092501088,0,0,0,0,0,0,0,0,0,0,0,0,0.561913062,1,0.75426921,0.19389897,0,0.525512678,0,0.305829599,0.525512678,0,0.190158419,0,0,0.154321511,0.214920842,0.03850883,0.223646516,0.177354145,0,0.043414503,0,0,0,0.05750547,0,0.326270571,0.124352875,0,0,0,0,0,0,0.041507333,0,0,0,0,0,0,0,0,0.132114407,0,0,0,0,0,0,0,0,0,0.092478709,0,0,0,0.032572091,0.18850605,0,0,0,0.039781555,0,0,0,0.147836632,0,0,0,0,0,0,0,0,0,0,0,0,0.556199291,0,0.239401258,0.099545362,0,0,0.07392726,0.177354145,0,0,0.183642709,0,0,0,0,0.842608216,0.063317676,0,0,0,0.042986241,0,0,0,0,0,0,0,0,0,0,0.126477283,0,0,0,0,0,0,0,0,0.179068431,0,0,0,0,0,0,0,0,0,0.099565961,0,0,0.167854029,0.124352875,0,0,0,0.050052958,0,0,0,0,0.208730737,0.160738493,0
"Stroke, Lacunar",0,0,0,0,0,0,0,0,0.061656735,0.179099815,0,0.039267283,0,0,0.127057414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07617853,0,0,0,0,0,0,0,0,0,0,0,0,0.401340952,0.75426921,1,0.147048573,0,0.386299766,0,0.252850585,0.386299766,0,0.134883093,0,0,0.111192961,0.161770872,0.027621705,0.16781583,0.126502901,0,0.035258515,0,0,0,0.048829447,0,0.254834624,0.097126192,0,0,0,0,0,0,0.030515739,0,0,0,0,0,0,0,0,0.102463318,0,0,0,0,0,0,0,0,0,0.076161569,0,0,0,0.025195985,0.127897831,0,0,0,0.030430789,0,0,0,0.108208103,0,0,0,0,0,0,0,0,0,0,0,0,0.37857536,0,0.184254193,0.079150061,0,0,0.056063396,0.126502901,0,0,0.148636148,0,0,0,0,0.669954499,0.050215408,0,0,0,0.030577055,0,0,0,0,0,0,0,0,0,0,0.102219411,0,0,0,0,0,0,0,0,0.136526872,0,0,0,0,0,0,0,0,0,0.079165256,0,0,0.126414871,0.097126192,0,0,0,0.037688835,0,0,0,0,0.149499789,0.134575857,0
Peripheral Arterial Disease,0,0,0,0,0,0,0,0,0.075821216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161339424,0.19389897,0.147048573,1,0,0.17458776,0,0.273562897,0.294357585,0,0.727451135,0,0,0.374841781,0.198934699,0,0.206387448,0.164011574,0,0,0,0,0,0,0,0.298146597,0.113633867,0,0,0,0,0,0,0.039532573,0,0,0,0,0,0,0,0,0.125896568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113113599,0,0,0.092556669,0,0,0.068928477,0.164011574,0,0,0.166578486,0,0,0,0,0.242921659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167831936,0,0,0,0,0,0,0,0,0,0.092574477,0,0,0,0.113633867,0,0,0,0,0,0,0,0,0,0,0
"Glaucoma, Open-Angle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07697949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.767241859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055176835,0,0,0,0,0,0,0,0,0,0,0.148679753,0,0.12966165,0,0,0,0,0,0,0,0,0,0.100249942,0.148679753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intracranial Aneurysm,0,0,0,0,0,0,0,0,0.072967856,0.17377844,0,0.037827593,0,0,0.124355991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073373338,0,0,0,0,0,0,0,0,0,0,0,0,0.422434119,0.525512678,0.386299766,0.17458776,0,1,0,0.259189988,0.40545558,0,0.167823824,0,0,0.139279759,0.379455218,0.026697139,0.198340727,0.312706318,0,0.034394306,0,0,0,0.047661257,0,0.285222773,0.108708155,0,0,0,0,0,0,0.038567609,0,0,0,0,0,0,0,0,0.122856141,0,0,0,0,0,0,0,0,0,0.073357602,0,0,0,0.024595249,0.123328049,0,0,0,0.029558931,0,0,0,0.105512041,0,0,0,0,0,0,0,0,0,0,0,0,0.414573471,0,0.178599525,0.089262281,0,0,0.066562226,0.312706318,0,0,0.158821392,0,0,0,0,0.681006945,0.048480323,0,0,0,0.02944816,0,0,0,0,0,0,0,0,0,0,0.0995003,0,0,0,0,0,0,0,0,0.162471793,0,0,0,0,0,0,0,0,0,0.089278844,0,0,0.123209036,0.108708155,0,0,0,0.036360478,0,0,0,0,0.144402132,0.128662097,0
Leukemia,0,0.264958578,0.081833474,0.087281464,0.340757809,0.093484845,0.105049504,0.078688251,0,0,0.080354537,0,0.080120154,0.093463921,0,0.097783356,0.14437925,0.458881481,0.284190951,0,0.202779596,0.236173215,0.07237544,0,0.258672962,0.180073936,0.17605099,0.278924977,0.236173215,0.247802297,0.094726352,0.093465369,0,0,0,0,0.084553681,0.08779516,0.179920851,0.385610632,0.219002574,0,0.093484845,0.63301595,0.211759916,0.098562633,0,0,0,0,0,0,1,0,0,0,0,0.278924977,0,0,0,0.238737693,0,0,0,0.171335901,0,0.497614866,0,0.19090468,0,0,0,0.220594922,0.474310999,0,0,0,0,0,0,0,0,0,0.529263726,0.087281464,0.271876062,0.497614866,0.190680877,0,0.271876062,0,0,0.190021027,0.1785253,0,0.258995465,0,0,0.246017447,0,0,0,0,0,0.318495287,0.503139435,0.254100715,0.117593756,0.281982406,0.227485912,0.08056172,0.186674363,0.314681268,0,0,0,0.478615873,0.090945957,0,0,0,0.256250193,0.205535679,0,0.385610632,0,0,0,0,0,0,0.247802297,0.385610632,0,0,0.246904071,0.231457666,0,0,0,0,0,0,0,0.278645019,0.258672962,0.090954866,0.24201706,0.14943566,0,0,0,0,0,0,0,0.385610632,0,0,0,0,0,0,0,0,0.766409081,0,0,0,0.297148814,0.300703928,0.182284699,0,0,0.553812776,0,0,0,0.474310999,0,0,0,0.385610632,0,0,0,0,0,0
Cardiovascular Diseases,0,0,0,0,0,0,0,0,0.318954003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293355784,0.305829599,0.252850585,0.273562897,0,0.259189988,0,1,0.259189988,0,0.336311028,0,0,0.245077769,0.318951239,0,0.339214896,0.30143344,0,0,0,0,0,0,0,0.459897499,0.459897499,0,0,0,0,0,0,0.153180597,0,0,0,0,0,0,0,0,0.16280124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204056972,0,0,0.323853881,0,0,0.273701488,0.30143344,0,0,0.617716431,0,0,0,0,0.32401621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244151555,0,0,0,0,0,0,0,0,0,0.323953262,0,0,0,0.459897499,0,0,0,0,0,0,0,0,0,0,0
Carotid Stenosis,0,0,0,0,0,0,0,0,0.072967856,0.17377844,0,0.037827593,0,0,0.124355991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073373338,0,0,0,0,0,0,0,0,0,0,0,0,0.422434119,0.525512678,0.386299766,0.294357585,0,0.40545558,0,0.259189988,1,0,0.332630964,0,0,0.276055921,0.19144828,0.026697139,0.198340727,0.157771151,0,0.034394306,0,0,0,0.047661257,0,0.285222773,0.108708155,0,0,0,0,0,0,0.038567609,0,0,0,0,0,0,0,0,0.122856141,0,0,0,0,0,0,0,0,0,0.073357602,0,0,0,0.024595249,0.123328049,0,0,0,0.029558931,0,0,0,0.105512041,0,0,0,0,0,0,0,0,0,0,0,0,0.288966229,0,0.178599525,0.089262281,0,0,0.066562226,0.157771151,0,0,0.158821392,0,0,0,0,0.681006945,0.048480323,0,0,0,0.02944816,0,0,0,0,0,0,0,0,0,0,0.0995003,0,0,0,0,0,0,0,0,0.162471793,0,0,0,0,0,0,0,0,0,0.089278844,0,0,0.123209036,0.108708155,0,0,0,0.036360478,0,0,0,0,0.144402132,0.128662097,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097403662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767241859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073435592,0,0,0,0,0,0,0,0,0,0,0.193784725,0,0.167659463,0,0,0,0,0,0,0,0,0,0.128060971,0.193784725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atherosclerosis,0,0,0,0,0,0,0,0,0.074753117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150721985,0.190158419,0.134883093,0.727451135,0,0.167823824,0,0.336311028,0.332630964,0,1,0,0,0.466291448,0.196132076,0,0.20508994,0.153749255,0,0,0,0,0,0,0,0.319707885,0.121851611,0,0,0,0,0,0,0.034372837,0,0,0,0,0,0,0,0,0.115254793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096827785,0,0,0.094831881,0,0,0.066687014,0.153749255,0,0,0.190234472,0,0,0,0,0.248908406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160217771,0,0,0,0,0,0,0,0,0,0.094853694,0,0,0,0.121851611,0,0,0,0,0,0,0,0,0,0,0
"Carcinoma, Basal Cell",0,0.25029421,0.032859837,0.042370659,0.202388977,0.044916432,0.056273526,0.034755512,0,0,0.032359039,0,0.044502378,0.044907309,0,0.046650919,0.084214944,0.283736906,0.151742912,0,0.315360883,0.185773191,0.032348324,0,0.12342888,0.258964613,0.175988889,0.467203749,0.185773191,0.21164781,0.05150256,0.044909149,0,0,0,0,0.046658744,0.038129267,0.288271559,0.694035333,0.128023894,0,0.044916432,0.146528902,0.331682149,0.053291309,0,0,0,0,0,0,0.278924977,0,0,0,0,1,0,0,0,0.103235319,0,0,0,0.083014401,0,0.120082876,0,0.102636598,0,0,0,0.191995423,0.103201688,0,0,0,0,0,0,0,0,0,0.143567456,0.042370659,0.128666339,0.120082876,0.107200613,0,0.128666339,0,0,0.105341794,0.318658766,0,0.115684425,0,0,0.096666669,0,0,0,0,0,0.520841644,0.278924977,0.137906354,0.061884107,0.140024342,0.335361425,0.044718414,0.297645036,0.175269549,0,0,0,0.116194837,0.0438811,0,0,0,0.10948775,0.180790768,0,0.195253656,0,0,0,0,0,0,0.21164781,0.195253656,0,0,0.366036315,0.112340376,0,0,0,0,0,0,0,0.117264301,0.12342888,0.043884748,0.132221005,0.244800178,0,0,0,0,0,0,0,0.195253656,0,0,0,0,0,0,0,0,0.195253656,0,0,0,0.157564505,0.159142735,0.082020039,0,0,0.117265719,0,0,0,0.103201688,0,0,0,0.195253656,0,0,0,0,0,0
Endometriosis,0,0,0,0.164185089,0,0,0,0.280672371,0,0,0,0,0.239780658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31166427,0.123056783,0,0.106346328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164185089,0,0,0,0,0,0,0,0,0.205959266,0,0.063958292,0,0,0,0,0.108065327,0,0,0,0,0,0,0,0.071583486,0.058273272,0,0,0.08248513,0.457191222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338269357,0.208107014,0.193047414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168243632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180993301,0,0,0,0,0.123095261
Coronary Artery Disease,0,0,0,0,0,0,0,0,0.158230362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121738594,0.154321511,0.111192961,0.374841781,0,0.139279759,0,0.245077769,0.276055921,0,0.466291448,0,0,1,0.158233614,0,0.426566394,0.123707235,0,0,0,0,0,0,0,0.248398256,0.248393567,0,0,0,0,0,0,0.078935132,0,0,0,0,0,0,0,0,0.101034252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081529524,0,0,0.203372646,0,0,0.144162608,0.123707235,0,0,0.379380152,0,0,0,0,0.203438933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133999585,0,0,0,0,0,0,0,0,0,0.20341088,0,0,0,0.248393567,0,0,0,0,0,0,0,0,0,0,0
Aortic Aneurysm,0,0,0,0,0,0,0,0,0.084278595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179236883,0.214920842,0.161770872,0.198934699,0,0.379455218,0,0.318951239,0.19144828,0,0.196132076,0,0,0.158233614,1,0,0.230371921,0.82550776,0,0,0,0,0,0,0,0.337376295,0.128585647,0,0,0,0,0,0,0.042244993,0,0,0,0,0,0,0,0,0.134434275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123174831,0,0,0.102239912,0,0,0.075847902,0.82550776,0,0,0.190449033,0,0,0,0,0.268344849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183355283,0,0,0,0,0,0,0,0,0,0.102261641,0,0,0,0.128585647,0,0,0,0,0,0,0,0,0,0,0
"Neurofibroma, Plexiform",0,0.17468989,0.02332524,0.033456003,0.175321407,0.035400096,0.046683573,0.026024897,0,0.044540863,0.022981005,0.099694951,0.037166818,0.035392897,0.031263614,0.036720846,0.072715642,0.2553862,0.196433401,0,0.072192347,0.122188584,0.024274968,0,0.097159126,0.060826285,0.124113701,0.103235319,0.122188584,0.143215536,0.042841816,0.035394792,0,0.079692076,0,0,0.038919722,0.028464499,0.060956425,0.160387006,0.109177831,0,0.035400096,0.114609433,0.06984403,0.04428434,0.030417725,0.03850883,0.027621705,0,0,0.026697139,0.238737693,0,0.026697139,0,0,0.103235319,0,0,0,1,0,0,0,0.467986975,0,0.094611622,0,0.406023017,0,0,0,0.130354508,0.076984629,0,0,0,0,0,0,0,0,0,0.119240223,0.033456003,0.101132324,0.094611622,0.089736914,0,0.101132324,0,0,0.090164234,0.071234876,0,0.088194517,0,0.079673513,0.135860942,0,0,0.025924432,0.025164895,0,0.114609433,0.238737693,0.311892768,0.051174509,0.112634046,0.09439194,0.086847667,0.062881771,0.14813582,0,0,0,0.091648353,0.034610431,0,0,0,0.081501532,0.068137675,0.020128532,0.160387006,0.065479157,0,0,0,0,0,0.143215536,0.160387006,0,0,0.09323961,0.088702429,0,0.050664965,0.052375778,0,0,0,0.031988761,0.087060949,0.097159126,0.034613215,0.110084804,0.051981649,0,0,0,0,0,0.098609142,0,0.160387006,0,0,0,0,0,0,0,0,0.160387006,0,0,0,0.130473082,0.13173367,0.061626286,0,0,0.087062562,0,0.02767299,0,0.076984629,0,0,0.039344436,0.160387006,0,0,0,0.029354112,0.142112416,0
Myocardial Infarction,0,0,0,0,0,0,0,0,0.230373319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186688537,0.223646516,0.16781583,0.206387448,0,0.198340727,0,0.339214896,0.198340727,0,0.20508994,0,0,0.426566394,0.230371921,0,1,0.190274521,0,0,0,0,0,0,0,0.354149597,0.354149597,0,0,0,0,0,0,0.11364443,0,0,0,0,0,0,0,0,0.137795714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127245854,0,0,0.278747691,0,0,0.206463934,0.190274521,0,0,0.526870461,0,0,0,0,0.27884824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189667671,0,0,0,0,0,0,0,0,0,0.278809252,0,0,0,0.354149597,0,0,0,0,0,0,0,0,0,0,0
"Aortic Aneurysm, Abdominal",0,0,0,0,0,0,0,0,0.06957264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140334059,0.177354145,0.126502901,0.164011574,0,0.312706318,0,0.30143344,0.157771151,0,0.153749255,0,0,0.123707235,0.82550776,0,0.190274521,1,0,0,0,0,0,0,0,0.293514824,0.11186854,0,0,0,0,0,0,0.032914286,0,0,0,0,0,0,0,0,0.110422048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091489132,0,0,0.088673132,0,0,0.062533007,0.646492892,0,0,0.173238759,0,0,0,0,0.232737655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151030298,0,0,0,0,0,0,0,0,0,0.088692204,0,0,0,0.11186854,0,0,0,0,0,0,0,0,0,0,0
