,Acquired Immunodeficiency Syndrome,Neoplasms,Cardiomegaly,Stomach Neoplasms,Multiple Sclerosis,Glioma,"Cardiomyopathy, Dilated",Hepacivirus,Spinocerebellar Ataxias,Alzheimer Disease,"Myositis, Inclusion Body",Ovarian Neoplasms,Melanoma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Esophageal Squamous Cell Carcinoma,"Thyroid Cancer, Papillary",Osteosarcoma,Retinoblastoma,"Carcinoma, Hepatocellular",Colorectal Neoplasms,Lung Neoplasms,Breast Neoplasms,Aging,Uterine Cervical Neoplasms,Esophageal Neoplasms,Parotid Neoplasms,Tongue Neoplasms,Depression,Huntington Disease,Mental Disorders,Schizophrenia,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Prostatic Neoplasms,Adenocarcinoma of Lung,"Leukemia, Myeloid, Acute",Gallbladder Neoplasms,Colonic Neoplasms,Small Cell Lung Carcinoma,Pancreatic Neoplasms,Hematologic Neoplasms,Atherosclerosis,Periodontitis,"Aortic Aneurysm, Abdominal",Precursor Cell Lymphoblastic Leukemia-Lymphoma,Aortic Aneurysm,"Carcinoma, Basal Cell",Cardiovascular Diseases,Coronary Artery Disease,Coronary Disease,Diabetes Mellitus,Endometriosis,Intracranial Aneurysm,Frailty,Glaucoma,Leukemia,Myocardial Infarction,Nasopharyngeal Carcinoma,Neurofibromatoses,Peripheral Arterial Disease,"Neurofibroma, Plexiform",Stroke,"Diabetes Mellitus, Type 2",Thyroid Neoplasms,Hypertension,Primary Myelofibrosis,"Leukemia, Lymphocytic, Chronic, B-Cell",Medulloblastoma,Bone Diseases,"Osteoporosis, Postmenopausal",Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Mood Disorders,Autism Spectrum Disorder,"Leukemia, Lymphoid",Lymphoma,"Carcinoma, Embryonal",Autoimmune Diseases,Kidney Neoplasms,Head and Neck Neoplasms,Liver Cirrhosis,Osteoarthritis,"Lymphoma, Mantle-Cell",Adrenocortical Carcinoma,Beckwith-Wiedemann Syndrome,Hydatidiform Mole,Choriocarcinoma,Congenital Hyperinsulinism,"Neoplasms, Germ Cell and Embryonal",Gestational Trophoblastic Disease,Glioblastoma,Hyperhomocysteinemia,Infertility,Liver Neoplasms,Marek Disease,Meningioma,Neural Tube Defects,Neuroblastoma,Obesity,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Pre-Eclampsia,Silver-Russell Syndrome,Trophoblastic Neoplasms,Wilms Tumor,Diabetic Cardiomyopathies,"Colitis, Ulcerative",Pneumoconiosis,"Heart Defects, Congenital",Parkinson Disease,Adenocarcinoma,Gastrointestinal Neoplasms,"Arthritis, Rheumatoid",Gastrointestinal Stromal Tumors,Asthenozoospermia,Squamous Cell Carcinoma of Head and Neck,"Diabetes Mellitus, Type 1",Uterine Neoplasms,Multiple Myeloma,Hemangioma,"Carcinoma, Ovarian Epithelial",Pulmonary Arterial Hypertension,Amyotrophic Lateral Sclerosis,"Vitreoretinopathy, Proliferative",Congenital Microtia,HIV,Diabetic Retinopathy,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Substance-Related Disorders,Myelodysplastic Syndromes,"Purpura, Thrombocytopenic",Metabolic Syndrome,Myopia,"Leukemia, Myeloid",Down Syndrome,Psoriasis,Burkitt Lymphoma,Cleft Lip,Diabetic Nephropathies,Hodgkin Disease,Plasmacytoma,Asthma,"Leukemia, Promyelocytic, Acute","Lymphoma, B-Cell",Rhabdomyosarcoma,"Anemia, Aplastic",Dyskeratosis Congenita,"Renal Insufficiency, Chronic",Hepatoblastoma,"Carcinoma, Squamous Cell",Urinary Bladder,Klinefelter Syndrome,"Glomerulonephritis, Membranous"
Diabetes Mellitus,0,0,0,0,0,0,0,0,0,0,0,0.117469606,0,0,0,0,0.110387899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123273489,0,0,0,0,0,0,0,0,0.141191393,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.825271837,0.1492787,0,0,0,0,0,0.182699375,0,0,0.082777361,0,0,0,0,0,0,0,0,0,0,0,0.101832186,0,0,0,0.259617637,0,0,0,0.158021204,0,0,0,0,0,0,0.067345137,0,0.118050594,0.044218007,0,0,0,0,0.352170325,0,0,0,0,0,0,0,0,0,0,0.700184777,0,0,0,0.099030199,0,0.130638239,0,0,0,0.290355213,0,0,0,0,0.410507286,0,0,0,0,0,0,0.331216501,0,0,0,0,0,0,0,0,0,0,0,0,0.110178519,0
Endometriosis,0,0,0,0,0,0,0,0,0,0,0,0.239780658,0,0,0.164185089,0,0,0,0,0,0,0,0,0,0.280672371,0,0,0,0,0,0,0,0,0.31166427,0.123056783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164185089,0,0,0,0,0,0,0.063958292,0.058273272,0,0,0.071583486,0,0,0.457191222,0,0,0,0,0,0,0,0,0,0.108065327,0,0.08248513,0.106346328,0,0,0,0,0,0,0,0,0,0,0,0,0.338269357,0,0,0.205959266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168243632,0,0,0,0,0,0,0,0,0.180993301,0,0,0,0.123095261,0.13416711
Intracranial Aneurysm,0,0,0.089278844,0,0.048480323,0,0.072967856,0,0.123209036,0.17377844,0.037827593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124355991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167823824,0,0.312706318,0,0.379455218,0,0.259189988,0.139279759,0.198340727,0,0,1,0,0,0,0.198340727,0,0.047661257,0.17458776,0.026697139,0.525512678,0,0,0.285222773,0,0,0,0,0,0,0,0.038567609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029558931,0.073357602,0,0,0,0.105512041,0.024595249,0,0,0,0,0.066562226,0,0,0.089262281,0.178599525,0,0,0,0,0,0,0,0,0.122856141,0,0,0,0.0995003,0,0,0,0.162471793,0,0,0,0,0,0,0,0.028727263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frailty,0,0,0.116896624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082814098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181156072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097403662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193784725,0,0,0.128060971,0,0,0,0,0,0.193784725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leukemia,0,0.458881481,0,0.093484845,0,0.264958578,0,0,0,0,0,0.080120154,0.284190951,0.081833474,0.087281464,0.171186332,0.180073936,0.258672962,0.17605099,0.202779596,0.07237544,0.097783356,0.14437925,0,0.078688251,0.094726352,0.079997743,0.093465369,0,0,0,0,0.084553681,0.08779516,0.179920851,0.093463921,0.211759916,0.63301595,0.093484845,0.080354537,0.081833474,0.098562633,0.151559528,0,0,0,0.497614866,0,0.278924977,0,0,0,0,0,0,0,0,1,0,0.203979709,0.19090468,0,0.238737693,0,0,0.105049504,0,0,0.474310999,0.220594922,0,0,0,0,0,0,0,0.529263726,0.340757809,0.385610632,0,0.087281464,0.190021027,0,0,0.271876062,0.186674363,0,0.258995465,0.227485912,0,0.503139435,0.281982406,0.236173215,0,0,0.117593756,0,0.254100715,0,0.236173215,0,0.246017447,0.08056172,0,0,0,0.314681268,0.219002574,0,0,0,0,0,0.318495287,0.117593756,0,0.231457666,0,0.246904071,0,0.090954866,0.190680877,0.385610632,0.1785253,0,0,0,0,0,0,0.478615873,0,0,0,0,0,0.766409081,0,0,0.182284699,0,0,0.300703928,0.297148814,0,0.553812776,0.271876062,0.256250193,0,0,0,0.385610632,0.278924977,0,0,0
Myocardial Infarction,0,0,0.278809252,0,0,0,0.230373319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20508994,0,0.190274521,0,0.230371921,0,0.339214896,0.426566394,0.625324651,0,0,0.198340727,0,0,0,1,0,0,0.206387448,0,0.223646516,0,0,0.354149597,0,0,0,0,0,0,0,0.11364443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206463934,0,0,0.278747691,0,0,0,0,0,0,0,0,0,0.137795714,0,0,0,0,0,0,0,0.189667671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasopharyngeal Carcinoma,0,0.194465257,0,0.075738778,0,0.193755145,0,0,0,0,0,0.083179097,0.119310171,0.049381622,0.072330921,0.309439925,0.30143352,0.095979714,0.177962413,0.290110929,0.053020388,0.078014546,0.153971508,0,0.056148273,0.176692635,0.137740811,0.186764929,0,0,0,0,0.086479158,0.060383147,0.260100471,0.07572581,0.291062097,0.109389695,0.075738778,0.048792956,0.049381622,0.096291724,0.158827913,0,0.056014206,0,0.093943085,0,0.358134372,0,0,0,0,0,0,0,0,0.203979709,0,1,0.085317428,0,0.079811675,0,0,0.189612121,0,0,0.079791573,0.150629031,0,0,0,0,0,0,0,0.11419712,0.159789448,0.144655742,0,0.072330921,0.349123926,0,0,0.09911465,0.266933578,0,0.088787789,0.269720842,0,0.203979709,0.108369779,0.141806099,0,0,0.108294588,0,0.137910279,0,0.141806099,0,0.07319681,0.083512225,0,0,0,0.137314501,0.12968351,0,0,0,0,0,0.388829152,0.108294588,0,0.08913754,0,0.435837161,0,0.07436818,0.089930271,0.144655742,0.29611185,0,0,0,0.069256301,0,0,0.091547669,0,0,0,0,0,0.144655742,0,0,0.066510818,0.046735499,0,0.12383584,0.122879885,0,0.087948478,0.09911465,0.083499268,0,0,0,0.144655742,0.358134372,0,0,0
Neurofibromatoses,0,0.194133224,0,0.054386802,0.067102872,0.152699876,0,0,0.277619956,0.136865895,0.060097204,0.05243379,0.169277542,0.046511232,0.052226887,0.071811196,0.071120816,0.098381001,0.118794713,0.07994249,0.044622186,0.055815003,0.081315765,0,0.04694445,0.058319438,0.047407433,0.054380556,0,0.29268694,0,0,0.054297064,0.050041314,0.071201179,0.054379372,0.078669311,0.110201176,0.054386802,0.046028839,0.046511232,0.059750816,0.083545022,0,0,0,0.096549722,0,0.102636598,0,0,0,0,0,0.047661257,0,0,0.19090468,0,0.085317428,1,0,0.406023017,0.05750547,0,0.062075155,0,0,0.084294386,0.122000952,0,0,0,0,0.082139868,0,0,0.11431169,0.154474691,0.14044827,0,0.052226887,0.094037406,0,0,0.101181312,0.072865578,0.135460665,0.092218951,0.096214455,0.055499775,0.19090468,0.109234053,0.115668957,0.091537121,0,0.06625088,0,0.243958552,0.141191258,0.115668957,0,0.124834016,0.09254291,0.146954195,0,0.112690512,0.134610849,0.313664872,0,0,0,0.051160243,0.17742541,0.110201176,0.06625088,0,0.092189506,0,0.095560075,0,0.053520675,0.092299444,0.14044827,0.078305707,0,0.125489123,0,0.067974865,0,0,0.094383055,0,0,0,0,0,0.14044827,0.166362409,0,0.071784489,0.039926624,0,0.122756134,0.121926015,0,0.091718418,0.101181312,0.087692653,0,0.119336956,0,0.14044827,0.102636598,0,0.079960736,0
Peripheral Arterial Disease,0,0,0.092574477,0,0,0,0.075821216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727451135,0,0.164011574,0,0.198934699,0,0.273562897,0.374841781,0.206387448,0,0,0.17458776,0,0,0,0.206387448,0,0,1,0,0.19389897,0,0,0.298146597,0,0,0,0,0,0,0,0.039532573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068928477,0,0,0.092556669,0,0,0,0,0,0,0,0,0,0.125896568,0,0,0,0,0,0,0,0.167831936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neurofibroma, Plexiform",0,0.2553862,0,0.035400096,0.052375778,0.17468989,0,0,0.02767299,0.044540863,0.099694951,0.037166818,0.196433401,0.02332524,0.033456003,0.062540062,0.060826285,0.097159126,0.124113701,0.072192347,0.024274968,0.036720846,0.072715642,0,0.026024897,0.042841816,0.026381712,0.035394792,0,0.031263614,0,0,0.038919722,0.028464499,0.060956425,0.035392897,0.06984403,0.114609433,0.035400096,0.022981005,0.02332524,0.04428434,0.075601352,0,0,0,0.094611622,0,0.103235319,0,0,0,0,0,0.026697139,0,0,0.238737693,0,0.079811675,0.406023017,0,1,0.03850883,0,0.046683573,0,0,0.076984629,0.130354508,0,0,0,0,0,0,0,0.119240223,0.175321407,0.160387006,0,0.033456003,0.090164234,0,0,0.101132324,0.062881771,0,0.088194517,0.09439194,0,0.238737693,0.112634046,0.122188584,0,0,0.051174509,0,0.311892768,0.079673513,0.122188584,0,0.135860942,0.086847667,0.025924432,0,0,0.14813582,0.109177831,0,0,0,0,0.065479157,0.114609433,0.051174509,0,0.088702429,0,0.09323961,0,0.034613215,0.089736914,0.160387006,0.071234876,0,0.098609142,0,0,0,0,0.091648353,0,0,0,0,0,0.160387006,0.030557748,0,0.061626286,0,0,0.13173367,0.130473082,0,0.087062562,0.101132324,0.081501532,0,0,0,0.160387006,0.103235319,0,0,0
Stroke,0,0,0.099565961,0,0.063317676,0,0.081914148,0,0.167854029,0.231961204,0.052328523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161360306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190158419,0,0.177354145,0,0.214920842,0,0.305829599,0.154321511,0.223646516,0,0,0.525512678,0,0,0,0.223646516,0,0.05750547,0.19389897,0.03850883,1,0,0,0.326270571,0,0,0,0,0,0,0,0.041507333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039781555,0.092478709,0,0,0,0.147836632,0.032572091,0,0,0,0,0.07392726,0,0,0.099545362,0.239401258,0,0,0,0,0,0,0,0,0.132114407,0,0,0,0.126477283,0,0,0,0.179068431,0,0,0,0,0,0,0,0.038558501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diabetes Mellitus, Type 2",0,0,0,0,0,0,0,0,0,0,0,0.09157508,0,0,0,0,0.081907261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09613913,0,0,0,0,0,0,0,0,0.11025312,0,0,0,0,0,0,0,0,0,0,0.825271837,0,0,0,0,0,0,0,0,0,0,0,1,0.11663597,0,0,0,0,0,0.143033878,0,0,0.058734336,0,0,0,0,0,0,0,0,0,0,0,0.072384239,0,0,0,0.202531876,0,0,0,0.129942362,0,0,0,0,0,0,0.05543569,0,0.092031787,0.034458109,0,0,0,0,0.261853096,0,0,0,0,0,0,0,0,0,0,0.547135906,0,0,0,0.073410101,0,0.101909252,0,0,0,0.206577909,0,0,0,0,0.338422619,0,0,0,0,0,0,0.246108637,0,0,0,0,0,0,0,0,0,0,0,0,0.081751798,0
Thyroid Neoplasms,0,0.25212328,0,0.136426623,0,0.054197003,0,0,0,0,0,0.342965229,0.062451951,0.108993972,0.129525101,0.21461683,0.716102988,0.053245026,0.104594602,0.123397846,0.104689045,0.141077753,0.229042513,0,0.111637626,0.298742319,0.224680454,0.271110905,0,0,0,0,0.358039487,0.121203641,0.099651635,0.136402464,0.113022593,0.061856748,0.136426623,0.107527728,0.108993972,0.403604046,0.23730637,0,0,0,0.051966605,0,0.056273526,0,0,0,0.1492787,0,0,0,0,0.105049504,0,0.189612121,0.062075155,0,0.046683573,0,0.11663597,1,0,0,0.046670183,0.044021605,0,0,0,0,0.052577372,0,0,0.059445142,0.079390369,0.077864317,0,0.129525101,0.552830944,0,0,0.055231052,0.267112923,0,0.056005665,0.056568671,0,0.105049504,0.066547287,0.043838048,0,0,0.176983803,0,0.123345354,0,0.043838048,0,0.045143291,0.344481305,0,0,0,0.081978116,0.11673685,0.085887985,0,0,0,0,0.061856748,0.176983803,0,0.048976108,0,0.332644705,0.101289066,0.13364028,0.045616328,0.077864317,0.275451308,0,0,0,0,0,0.068557966,0.050470156,0,0,0,0,0,0.077864317,0,0,0.038024668,0,0.081442607,0.065142738,0.064571068,0,0.052179541,0.055231052,0.049154506,0,0,0,0.077864317,0.056273526,0,0.071731944,0
Hypertension,0,0,0.146368063,0,0,0,0.12858653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319707885,0,0.293514824,0,0.337376295,0,0.459897499,0.248398256,0.354149597,0,0,0.285222773,0,0,0,0.354149597,0,0,0.298146597,0,0.326270571,0,0,1,0,0,0,0,0,0,0,0.063393207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113680902,0,0,0.146331781,0,0,0,0,0,0,0,0,0,0.191618615,0,0,0,0,0,0,0,0.27142606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Myelofibrosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261046593,0,0,0,0.051191279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.044243588,0,0,0,0,0,0.034651897,0,0,0.060727892,0.063168088,0,0,0,0,0,0,0.045042359,0,0,0,0,0,0,0,0,0,0,0,0.047711257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089377172,0,0,0,0,0,0,0,0,0.455249328,0,0.441211479,0.098804412,0,0,0,0,0,0.029475101,0,0,0.052586993,0,0,0,0.045042359,0,0.389114639,0,0,0,0,0,0,0
"Leukemia, Lymphocytic, Chronic, B-Cell",0.042939826,0.25526308,0,0.035389624,0.039913035,0.099029136,0,0,0,0,0,0.03715833,0.125772624,0.023318025,0.033446649,0.062525688,0.060811117,0.097129336,0.070364605,0.072173195,0.024268599,0.036709579,0.072692765,0,0.026017576,0.042830539,0.026374189,0.035384324,0,0,0,0,0.038910415,0.028455741,0.060941258,0.035382428,0.069824118,0.227706231,0.035389624,0.022974,0.023318025,0.044272291,0.152903894,0,0,0,0.620497364,0,0.103201688,0,0,0,0,0,0,0,0,0.474310999,0,0.079791573,0.084294386,0,0.076984629,0,0,0.046670183,0,0.044243588,1,0.072200942,0,0,0,0,0.067272204,0,0,0.782037799,0.54626792,0.16032732,0.146609394,0.033446649,0.090129063,0,0,0.336049713,0.06286563,0,0.088165932,0.094367185,0,0.238644568,0.1125988,0.066156775,0,0,0.051158418,0.288618743,0.114647366,0,0.066156775,0,0.068333597,0.037334059,0,0,0,0.148091871,0.109153957,0,0,0,0,0,0.114567984,0.051158418,0.061269235,0.088677598,0,0.093212031,0.068675324,0.034603203,0.294384528,0.16032732,0.071218861,0,0,0,0,0,0,0.217504379,0,0.061891081,0.107362025,0,0,0.318653855,0,0,0.212559649,0,0,0.422758378,0.390921401,0.03265613,0.172977148,0.336049713,0.081474419,0.055596713,0,0,0.16032732,0.103201688,0,0,0.069964366
Medulloblastoma,0,0.231820135,0,0.033321896,0,0.768887787,0,0,0,0,0,0.035459638,0.313019055,0.021897272,0.031593734,0.112681025,0.10450379,0.09126,0.389043651,0.129150827,0.023002465,0.034489707,0.068192519,0,0.02456786,0.040589377,0.024885596,0.033317261,0,0,0,0,0.03705176,0.02673059,0.11511383,0.033315453,0.130946149,0.106489529,0.033321896,0.021593458,0.021897272,0.04188183,0.070724147,0,0,0,0.089008524,0,0.191995423,0,0,0,0,0,0,0,0,0.220594922,0,0.150629031,0.122000952,0,0.130354508,0,0,0.044021605,0,0,0.072200942,1,0,0,0,0,0,0,0,0.11266804,0.165335486,0.280143759,0,0.031593734,0.083312241,0,0,0.094755902,0.118563121,0,0.142373674,0.216212782,0,0.422312064,0.184388772,0.511762624,0,0,0.047993082,0,0.204545906,0,0.511762624,0,0.238349198,0.035619633,0,0,0,0.245753745,0.104366728,0,0,0,0,0,0.211650135,0.047993082,0,0.083759252,0,0.155126002,0,0.032623782,0.085963193,0.148718373,0.135174432,0,0,0,0,0,0,0.086381296,0,0,0,0,0,0.148718373,0,0,0.058522254,0,0,0.123757613,0.122644974,0,0.080994418,0.094755902,0.07615991,0,0,0,0.148718373,0.191995423,0,0,0
Bone Diseases,0,0,0,0,0,0,0,0,0,0,0.201106556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.454001803,0,0,0.094718583,0,0,0,0,0,0,0,0,0,0.215854925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126604034,0,0,0,0,0,0,0,0,0,0.159079392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoporosis, Postmenopausal",0,0,0,0,0,0,0,0,0,0,0.072561038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182699375,0,0,0,0,0,0,0,0,0,0,0,0.143033878,0,0,0,0,0,0.454001803,1,0,0,0.032978285,0,0,0,0,0,0,0,0,0,0.092416778,0,0,0,0,0,0.102112846,0,0,0,0.129758694,0,0,0,0,0,0,0.055348348,0,0,0.034414095,0,0.049759509,0,0,0,0,0,0,0,0,0,0.07203564,0,0,0,0.12115852,0,0,0,0,0,0.101762551,0,0,0,0,0,0,0,0,0.232265461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bipolar Disorder,0,0,0,0,0,0,0,0,0,0.103115755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068232535,0.460750139,0.194200756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.194200756,0,0.278709095,0.149016847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237831671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panic Disorder,0,0,0,0,0,0,0,0,0,0.103115755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068232535,0.460750139,0.194200756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194200756,1,0,0.278709095,0.149016847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237831671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DiGeorge Syndrome,0,0,0.144871697,0,0,0,0.1108406,0,0.06644755,0,0.04341695,0.044684382,0,0,0,0,0.035024292,0,0,0,0,0,0,0,0,0,0,0,0,0.074795668,0,0,0.046217164,0,0,0,0,0,0,0,0,0.050682661,0.057130187,0.034372837,0,0.032914286,0.07973571,0.042244993,0,0.153180597,0.078935132,0.11364443,0.082777361,0,0.038567609,0,0,0,0.11364443,0,0.082139868,0.039532573,0,0.041507333,0.058734336,0.052577372,0.063393207,0.034651897,0.067272204,0,0.094718583,0.032978285,0,0,1,0,0,0.097865454,0.100256898,0,0,0,0,0,0.056747821,0.067974578,0.027644424,0.380600507,0,0,0.045871031,0,0,0,0.068271862,0,0,0.083755932,0,0.11323204,0,0,0,0.044839832,0.29482632,0,0.495662112,0,0.081817597,0.143842664,0,0,0.482592876,0,0,0,0.048347108,0,0,0,0.052950116,0,0.053823661,0,0.032472109,0,0,0,0.147719421,0,0.066886476,0.029887253,0,0.045631566,0.025235263,0,0,0,0.332335957,0,0.049405205,0.078493773,0.038536924,0.081019131,0,0,0,0.067974578,0,0.042584644,0.151940152,0,0,0,0,0.182948218,0
Mood Disorders,0,0,0,0,0,0,0,0,0,0.149878366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096920363,0.618819951,0.278709095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278709095,0.278709095,0,1,0.223433455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321886932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autism Spectrum Disorder,0,0,0,0,0,0,0,0,0,0.076616926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051375656,0.380952363,0.149016847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149016847,0.149016847,0,0.223433455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192487037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
